name,volume,coefs_error,intercept_error,r2_error,coefs_time,intercept_time,r2_time
standard_Viscosity_std_1275,300,[ -8.18517714 -11.04185988],-12.686965945599997,0.7531529531826233,[-127.11582645 -119.50328537],318.7755490450883,0.5012101083676346
standard_Viscosity_std_1275,500,[-6.71025035 -7.8909249 ],-11.417124623799998,0.9013013189299168,[-127.11582645 -119.50328537],318.7755490450883,0.5012101083676346
standard_Viscosity_std_1275,1000,[-4.94371372 -4.88096517],-8.5416666012,0.9211548341733483,[-127.11582645 -119.50328537],318.7755490450883,0.5012101083676346
standard_Viscosity_std_1275,"mean[300, 500, 1000]",[-6.61304707 -7.93791665],-10.881919056866666,0.8742317724237423,[-127.11582645 -119.50328537],318.7755490450883,0.5012101083676346
standard_Viscosity_std_204,300,[-1.44399981 -3.63884551],1.1228152632788573,0.8756458766262059,[-48.79473599 -26.77834145],78.9894723595592,0.7559165315292204
standard_Viscosity_std_204,500,[ 0.07819736 -4.66822398],-0.18289160950351369,0.9891626183171698,[-48.79473599 -26.77834145],78.9894723595592,0.7559165315292204
standard_Viscosity_std_204,1000,[-0.46467696 -5.08564944],-4.111586951441072,0.9857362695396398,[-48.79473599 -26.77834145],78.9894723595592,0.7559165315292204
standard_Viscosity_std_204,"mean[300, 500, 1000]",[-0.61015981 -4.46423964],-1.0572210992219093,0.9824049924696012,[-48.79473599 -26.77834145],78.9894723595592,0.7559165315292204
standard_Viscosity_std_398,300,[-2.40987499 -2.93547482],1.3914514021999984,0.9553863555897081,[-80.02312252 -55.72656179],130.9246485793497,0.7142599529326138
standard_Viscosity_std_398,500,[-0.57336057 -2.80105609],0.5027675308999983,0.9361257386728463,[-80.02312252 -55.72656179],130.9246485793497,0.7142599529326138
standard_Viscosity_std_398,1000,[-0.79034307 -4.5940094 ],-4.572186262300003,0.8468676384839463,[-80.02312252 -55.72656179],130.9246485793497,0.7142599529326138
standard_Viscosity_std_398,"mean[300, 500, 1000]",[-1.25785954 -3.44351344],-0.8926557764000018,0.9681751568814985,[-80.02312252 -55.72656179],130.9246485793497,0.7142599529326138
standard_Viscosity_std_505,300,[-4.30245913 -4.80356232],-1.8350032208999996,0.8704679276076888,[-86.19309986 -48.02783519],148.18843191856638,0.7549829766894111
standard_Viscosity_std_505,500,[-3.09050834 -3.64552239],-1.9716688015000003,0.9220356228246507,[-86.19309986 -48.02783519],148.18843191856638,0.7549829766894111
standard_Viscosity_std_505,1000,[-1.83528866 -4.43874727],-4.0412299999,0.929941659286488,[-86.19309986 -48.02783519],148.18843191856638,0.7549829766894111
standard_Viscosity_std_505,"mean[300, 500, 1000]",[-3.07608538 -4.29594399],-2.615967340766667,0.9670830530096247,[-86.19309986 -48.02783519],148.18843191856638,0.7549829766894111
standard_Viscosity_std_817,300,[-4.35734765 -6.63133009],-2.4805102600282978,0.9442314750986982,[-126.2328683   -90.19514934],279.4522001064023,0.5210444117422226
standard_Viscosity_std_817,500,[-3.28339904 -4.23369246],-1.8544767140089906,0.9459361877255734,[-126.2328683   -90.19514934],279.4522001064023,0.5210444117422226
standard_Viscosity_std_817,1000,[-2.24512568 -5.2712517 ],-4.996456410111046,0.8853581131834959,[-126.2328683   -90.19514934],279.4522001064023,0.5210444117422226
standard_Viscosity_std_817,"mean[300, 500, 1000]",[-3.29529079 -5.37875808],-3.1104811280494453,0.9506995643627777,[-126.2328683   -90.19514934],279.4522001064023,0.5210444117422226
