liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out,delay_aspirate,delay_dispense,delay_blow_out,%error,time_asp_1000
Viscosity_std_204,rLine1000,1000.0,127.13077513872057,127.13077513872057,False,10,10,0,-12.18857916545764,35.7318320274353
Viscosity_std_204,rLine1000,500.0,127.13077513872057,127.13077513872057,False,10,10,0,-6.717021230932334,35.7318320274353
Viscosity_std_204,rLine1000,300.0,127.13077513872057,127.13077513872057,False,10,10,0,-8.070855130062755,35.7318320274353
Viscosity_std_204,rLine1000,1000.0,158.91346875,158.91346875,False,10,10,0,-21.00649065796631,32.585465635681054
Viscosity_std_204,rLine1000,500.0,158.91346875,158.91346875,False,10,10,0,-8.629705169820037,32.585465635681054
Viscosity_std_204,rLine1000,300.0,158.91346875,158.91346875,False,10,10,0,-14.109134231665855,32.585465635681054
Viscosity_std_204,rLine1000,1000.0,12.7130775,158.91346875,False,10,10,0,-20.90023043913921,104.95189304084711
Viscosity_std_204,rLine1000,500.0,12.7130775,158.91346875,False,10,10,0,-13.065647638316236,104.95189304084711
Viscosity_std_204,rLine1000,300.0,12.7130775,158.91346875,False,10,10,0,-19.427767406820927,104.95189304084711
Viscosity_std_204,rLine1000,1000.0,158.91346875,12.7130775,False,10,10,0,-2.25240537005429,104.95189304084711
Viscosity_std_204,rLine1000,500.0,158.91346875,12.7130775,False,10,10,0,-2.267585401315316,104.95189304084711
Viscosity_std_204,rLine1000,300.0,158.91346875,12.7130775,False,10,10,0,-1.903264651050909,104.95189304084711
Viscosity_std_204,rLine1000,1000.0,12.7130775,12.7130775,False,10,10,0,-2.314812165238446,177.31832044601316
Viscosity_std_204,rLine1000,500.0,12.7130775,12.7130775,False,10,10,0,-0.7765689974557557,177.31832044601316
Viscosity_std_204,rLine1000,300.0,12.7130775,12.7130775,False,10,10,0,-3.455001179954376,177.31832044601316
Viscosity_std_204,rLine1000,1000.0,158.9134689234007,21.300349135767522,False,10,10,0,-2.73648,73.24032008412361
Viscosity_std_204,rLine1000,500.0,158.9134689234007,45.465115037987076,False,10,10,0,-2.567813,48.287618321864805
Viscosity_std_204,rLine1000,300.0,158.9134689234007,39.00427347463709,False,10,10,0,-3.370668,51.93094911181767
Viscosity_std_204,rLine1000,1000.0,158.9134689234007,20.532974992191434,False,10,10,0,-0.019254,74.99488144653687
Viscosity_std_204,rLine1000,500.0,158.9134689234007,45.09358422620539,False,10,10,0,-2.696,48.468836510862914
Viscosity_std_204,rLine1000,300.0,158.9134689234007,35.561627114826,False,10,10,0,-3.449379,54.41293093270432
Viscosity_std_204,rLine1000,1000.0,158.9134689234007,26.17691989676797,False,10,10,0,-1.950491,64.49432428711523
Viscosity_std_204,rLine1000,500.0,158.9134689234007,44.28489672229019,False,10,10,0,-2.082052,48.87379484372498
Viscosity_std_204,rLine1000,300.0,158.9134689234007,32.6684876139483,False,10,10,0,-4.438892,56.9032713769846
Viscosity_std_204,rLine1000,1000.0,158.9134689234007,27.104122135554256,False,10,10,0,-1.30787,63.18748981504748
Viscosity_std_204,rLine1000,500.0,158.9134689234007,45.66128820899291,False,10,10,0,-3.293081,48.19312237998878
Viscosity_std_204,rLine1000,300.0,158.9134689234007,27.765222585234707,False,10,10,0,-2.937756,62.3090116983543
Viscosity_std_204,rLine1000,1000.0,158.9134689234007,28.740096766297608,False,10,10,0,-4.790844,61.08732686302551
Viscosity_std_204,rLine1000,500.0,158.9134689234007,43.491399989297705,False,10,10,0,-0.513448,49.28578431646896
Viscosity_std_204,rLine1000,300.0,158.9134689234007,26.80728759839009,False,10,10,0,-5.928784,63.59602193822081
