,liquid,pipette,volume,aspiration_rate,dispense_rate,delay_aspirate,delay_dispense,liquid_level,density,m,%error
0,Viscous_std_1275,rLine1000,1000,7.539763435289263,4.266016633577644,10,10,46.59297492824514,0.8736,0.8329885513425209,-4.648746412257225
1,Viscous_std_1275,rLine1000,1000,7.539763435289263,4.266016633577644,10,10,44.626804624936746,0.8736,0.8588231884851082,-1.6914848345801112
2,Viscous_std_1275,rLine1000,1000,7.539763435289263,4.266016633577644,10,10,42.66346982342308,0.8736,0.8575846413011715,-1.8332599243164525
3,Viscous_std_1275,rLine1000,1000,7.539763435289263,4.266016633577644,10,10,40.69439730063067,0.8736,0.8600908779557259,-1.546373860379364
4,Viscous_std_1275,rLine1000,1000,7.539763435289263,4.266016633577644,10,10,38.73690029692967,0.8736,0.8550346912165958,-2.1251498149501185
5,Viscous_std_1275,rLine1000,1000,7.539763435289263,4.266016633577644,10,10,36.81729894074408,0.8736,0.8384818723818639,-4.019932190720713
6,Viscous_std_1275,rLine1000,1000,7.539763435289263,4.266016633577644,10,10,34.82170613645981,0.8736,0.87167493691137,-0.22035978578640708
7,Viscous_std_1275,rLine1000,1000,7.539763435289263,4.266016633577644,10,10,32.87304922658943,0.8736,0.851173338231381,-2.5671545064811205
8,Viscous_std_1275,rLine1000,1000,7.539763435289263,4.266016633577644,10,10,30.944007317369636,0.8736,0.8426055059472065,-3.5479045390102484
9,Viscous_std_1275,rLine1000,1000,7.539763435289263,4.266016633577644,10,10,29.038116446332673,0.8736,0.8324931324689461,-4.705456448151782
10,Viscous_std_1275,rLine1000,500,7.539763435289263,4.266016633577644,10,10,28.059868327151833,0.8736,0.42729877845819136,-2.175188081915901
11,Viscous_std_1275,rLine1000,500,7.539763435289263,4.266016633577644,10,10,27.095764358099984,0.8736,0.4211206136818479,-3.5896030948150486
12,Viscous_std_1275,rLine1000,500,7.539763435289263,4.266016633577644,10,10,26.143869726187784,0.8736,0.41578757521924953,-4.810536808779875
13,Viscous_std_1275,rLine1000,500,7.539763435289263,4.266016633577644,10,10,25.19551113180783,0.8736,0.4142430340251636,-5.1641405620046745
14,Viscous_std_1275,rLine1000,500,7.539763435289263,4.266016633577644,10,10,24.26850219799994,0.8736,0.4049175022872867,-7.29910661921093
15,Viscous_std_1275,rLine1000,500,7.539763435289263,4.266016633577644,10,10,23.31513977692341,0.8736,0.4164287055262285,-4.663757892346957
16,Viscous_std_1275,rLine1000,500,7.539763435289263,4.266016633577644,10,10,22.360509719750414,0.8736,0.41698240897316485,-4.536994282700359
17,Viscous_std_1275,rLine1000,500,7.539763435289263,4.266016633577644,10,10,21.416154186727724,0.8736,0.41249449682431144,-5.564446697730903
18,Viscous_std_1275,rLine1000,500,7.539763435289263,4.266016633577644,10,10,20.475734997373007,0.8736,0.41077510191014055,-5.958081064528267
19,Viscous_std_1275,rLine1000,500,7.539763435289263,4.266016633577644,10,10,19.53861833363803,0.8736,0.4093325587194377,-6.288333626502365
20,Viscous_std_1275,rLine1000,300,7.539763435289263,4.266016633577644,10,10,18.97848997322318,0.8736,0.24466406782920683,-6.645273264191546
21,Viscous_std_1275,rLine1000,300,7.539763435289263,4.266016633577644,10,10,18.419862760817303,0.8736,0.24400836637888745,-6.895464599020368
22,Viscous_std_1275,rLine1000,300,7.539763435289263,4.266016633577644,10,10,17.87541305738506,0.8736,0.2378156304592034,-9.258382761292976
23,Viscous_std_1275,rLine1000,300,7.539763435289263,4.266016633577644,10,10,17.319421193706045,0.8736,0.2428572460549932,-7.334689386831054
24,Viscous_std_1275,rLine1000,300,7.539763435289263,4.266016633577644,10,10,16.775438514098816,0.8736,0.23761163445243738,-9.336220065461939
25,Viscous_std_1275,rLine1000,300,7.539763435289263,4.266016633577644,10,10,16.211740757307073,0.8736,0.24622318016663317,-6.0503738680429135
26,Viscous_std_1275,rLine1000,300,7.539763435289263,4.266016633577644,10,10,15.654948281356607,0.8736,0.2432069534951636,-7.201254008255656
27,Viscous_std_1275,rLine1000,300,7.539763435289263,4.266016633577644,10,10,15.098556111541868,0.8736,0.24303209977507834,-7.267971697543382
28,Viscous_std_1275,rLine1000,300,7.539763435289263,4.266016633577644,10,10,14.566482539472492,0.8736,0.23240973627990288,-11.321071321770889
29,Viscous_std_1275,rLine1000,300,7.539763435289263,4.266016633577644,10,10,14.000649816623543,0.8736,0.24715573334042085,-5.694546191841876
