liquid,pipette,volume,aspiration_rate,dispense_rate,delay_aspirate,delay_dispense,liquid_level,density,m,%error
water,rLine1000,1000,265,265,10,10,46.03945266,1,0.980273668,-1.972633177
water,rLine1000,1000,265,265,10,10,44.08056644,1,0.979443113,-2.055688694
water,rLine1000,1000,265,265,10,10,42.08761288,1,0.99647678,-0.352322038
water,rLine1000,1000,265,265,10,10,40.11905141,1,0.984280733,-1.571926735
water,rLine1000,1000,265,265,10,10,38.14358323,1,0.987734094,-1.226590638
water,rLine1000,1000,265,265,10,10,36.17548804,1,0.984047594,-1.595240565
water,rLine1000,1000,265,265,10,10,34.19780504,1,0.988841501,-1.115849949
water,rLine1000,1000,265,265,10,10,32.21840264,1,0.989701198,-1.029880203
water,rLine1000,1000,265,265,10,10,30.24243903,1,0.987981803,-1.201819695
water,rLine1000,1000,265,265,10,10,28.26834053,1,0.98704925,-1.295075012
water,rLine1000,500,265,265,10,10,27.28120386,1,0.493568338,-1.286332326
water,rLine1000,500,265,265,10,10,26.29258092,1,0.494311467,-1.137706664
water,rLine1000,500,265,265,10,10,25.31896627,1,0.486807328,-2.638534428
water,rLine1000,500,265,265,10,10,24.3516172,1,0.483674532,-3.265093592
water,rLine1000,500,265,265,10,10,23.39324396,1,0.47918662,-4.162676021
water,rLine1000,500,265,265,10,10,22.40220222,1,0.495520872,-0.895825684
water,rLine1000,500,265,265,10,10,21.44062333,1,0.480789446,-3.842110868
water,rLine1000,500,265,265,10,10,20.46692125,1,0.486851041,-2.629791742
water,rLine1000,500,265,265,10,10,19.5023407,1,0.482290273,-3.541945315
water,rLine1000,500,265,265,10,10,18.52540382,1,0.488468438,-2.30631236
water,rLine1000,300,265,265,10,10,17.95217505,1,0.28661439,-4.461870165
water,rLine1000,300,265,265,10,10,17.37454578,1,0.288814632,-3.72845595
water,rLine1000,300,265,265,10,10,16.78604644,1,0.294249669,-1.916777128
water,rLine1000,300,265,265,10,10,16.16974536,1,0.308150539,2.716846454
water,rLine1000,300,265,265,10,10,15.58293628,1,0.293404542,-2.198485899
water,rLine1000,300,265,265,10,10,15.03071909,1,0.276108595,-7.963801614
water,rLine1000,300,265,265,10,10,14.45894743,1,0.285885832,-4.704722554
water,rLine1000,300,265,265,10,10,13.88329984,1,0.287823794,-4.058735199
water,rLine1000,300,265,265,10,10,13.31826004,1,0.282519898,-5.826700591
water,rLine1000,300,265,265,10,10,12.7246608,1,0.296799619,-1.066793766
